# adultos collage stamps - image sources and licenses
# file	source	license	title	source_url
sebastian_bronze.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	Saint Sebastian	https://www.metmuseum.org/art/collection/search/198643
triton_nereid.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	Triton and Nereid	https://www.metmuseum.org/art/collection/search/200554
paris_bronze.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	Paris	https://www.metmuseum.org/art/collection/search/201862
seated_faun.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	Seated Faun	https://www.metmuseum.org/art/collection/search/203915
hercules_archer.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	Seated Hercules in the act of shooting at the stymphalian birds	https://www.metmuseum.org/art/collection/search/204504
seated_nude_bronze.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	Seated male figure	https://www.metmuseum.org/art/collection/search/204692
wrestlers_bronze.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	Nude Women Wrestling	https://www.metmuseum.org/art/collection/search/207024
hercules_achelous.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	Hercules and Achelous	https://www.metmuseum.org/art/collection/search/207032
aphrodite_eros.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	Limestone statue of Aphrodite holding winged Eros	https://www.metmuseum.org/art/collection/search/242017
ivory_recline.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	Ivory statuette of a reclining woman	https://www.metmuseum.org/art/collection/search/249180
aphrodite_bronze.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	Bronze statuette of Aphrodite	https://www.metmuseum.org/art/collection/search/253504
daguerreotype_nude.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	[Reclining Nude]	https://www.metmuseum.org/art/collection/search/283114
woman_parrot.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	Woman with a Parrot	https://www.metmuseum.org/art/collection/search/436002
woman_waves.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	The Woman in the Waves	https://www.metmuseum.org/art/collection/search/436004
judgment_paris.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	The Judgment of Paris	https://www.metmuseum.org/art/collection/search/436037
venus_lute.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	Venus and the Lute Player	https://www.metmuseum.org/art/collection/search/437827
male_nude_oil.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	Male Nude	https://www.metmuseum.org/art/collection/search/438857
nymph_spring.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	Nymph of the Spring	https://www.metmuseum.org/art/collection/search/459078
mercury_cupid.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	Mercury and Cupid	https://www.metmuseum.org/art/collection/search/761114
nanshoku_scroll.webp	The Met Open Access	CC0 (Met Open Access, isPublicDomain=true)	Handscroll of Ten Homoerotic (Nanshoku) Scenes	https://www.metmuseum.org/art/collection/search/888663
shunga_chamber.webp	Wikimedia Commons	Public domain	File:Brooklyn Museum - Amorous Couple - Isoda Koryusai.jpg	https://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_Amorous_Couple_-_Isoda_Koryusai.jpg
shunga_embrace_1.webp	Wikimedia Commons	CC0	File:MET DP143380.jpg	https://commons.wikimedia.org/wiki/File:MET_DP143380.jpg
shunga_green_pillow.webp	Wikimedia Commons	Public domain	File:Painting, shunga (BM 1996,1002,0.1).jpg	https://commons.wikimedia.org/wiki/File:Painting,_shunga_(BM_1996,1002,0.1).jpg
shunga_checkered_futon.webp	Wikimedia Commons	Public domain	File:Painting, shunga (BM 1986,0522,0.1).jpg	https://commons.wikimedia.org/wiki/File:Painting,_shunga_(BM_1986,0522,0.1).jpg
shunga_grey_robe.webp	Wikimedia Commons	Public domain	File:Painting, handscroll, shunga (BM OA+,0.140 1).jpg	https://commons.wikimedia.org/wiki/File:Painting,_handscroll,_shunga_(BM_OA%2B,0.140_1).jpg
shunga_straw_mat.webp	Wikimedia Commons	Public domain	File:Painting, handscroll, shunga (BM OA+,0.140 2).jpg	https://commons.wikimedia.org/wiki/File:Painting,_handscroll,_shunga_(BM_OA%2B,0.140_2).jpg
shunga_tumble.webp	Wikimedia Commons	Public domain	File:Painting, handscroll, shunga (BM OA+,0.140 3).jpg	https://commons.wikimedia.org/wiki/File:Painting,_handscroll,_shunga_(BM_OA%2B,0.140_3).jpg
shunga_red_robe.webp	Wikimedia Commons	Public domain	File:Painting, handscroll, shunga (BM OA+,0.140 4).jpg	https://commons.wikimedia.org/wiki/File:Painting,_handscroll,_shunga_(BM_OA%2B,0.140_4).jpg
