red_fox.webp	Public domain	wikimedia	File:Common foxes in the snow.jpg	https://commons.wikimedia.org/w/index.php?curid=11767756
gray_wolf.webp	Public domain	wikimedia	File:Canis lupus baileyi running.jpg	https://commons.wikimedia.org/w/index.php?curid=30714
zebra.webp	CC0	openverse/wikimedia	Arca zebra (Interior and Exterior)	https://commons.wikimedia.org/w/index.php?curid=24612211
raccoon.webp	CC0	openverse/wikimedia	Common raccoons Dogs subspecies area	https://commons.wikimedia.org/w/index.php?curid=168246071
beaver.webp	Public domain	wikimedia	File:Canadian Beaver - Castor du Canada.jpg	https://commons.wikimedia.org/w/index.php?curid=118200143
hedgehog.webp	CC0	openverse/wikimedia	Daurian Hedgehog (Mesechinus dauuricus)	https://commons.wikimedia.org/w/index.php?curid=149574476
mole.webp	CC0	openverse/rawpixel	Mole, animal	https://www.rawpixel.com/image/6041713/mole-animal-free-public-domain-cc0-photo
camel.webp	CC0	openverse/wikimedia	Tang Sancai Porcelain with Musicians on a Camel (no background)	https://commons.wikimedia.org/w/index.php?curid=118750103
donkey.webp	Public domain	wikimedia	File:Donkey in Clovelly, North Devon, England.jpg	https://commons.wikimedia.org/w/index.php?curid=123075
bison.webp	Public domain	wikimedia	File:American bison k5680-1.jpg	https://commons.wikimedia.org/w/index.php?curid=343547
moose.webp	Public domain	wikimedia	File:Male moose (Alces alces) in the winter. (23620fbd-1dd8-b71c-07b1-ad88b65891	https://commons.wikimedia.org/w/index.php?curid=148244160
elk.webp	Public domain	wikimedia	File:American elk cervus elaphus or wapiti deer.jpg	https://commons.wikimedia.org/w/index.php?curid=24856724
antelope.webp	Public domain	wikimedia	File:USA Antelope-Canyon.jpg	https://commons.wikimedia.org/w/index.php?curid=2545984
gazelle.webp	CC0	openverse/wikimedia	File:1981-1983 Nissan Gazelle Hatchback XE-II Turbo.jpg	https://commons.wikimedia.org/w/index.php?curid=39937988
ibex.webp	CC0	openverse/wikimedia	Walia ibex 2	https://commons.wikimedia.org/w/index.php?curid=76927921
hyena.webp	CC0	openverse/wikimedia	2667 Spotted Hyena Cubs	https://commons.wikimedia.org/w/index.php?curid=14549232
armadillo.webp	CC0	openverse/wikimedia	Otiorhynchus-armadillo-01-fws	https://commons.wikimedia.org/w/index.php?curid=85880567
anteater.webp	CC0	openverse/wikimedia	<div class='fn'> <i>Pygmy Anteater </i></div>	https://commons.wikimedia.org/w/index.php?curid=81729649
platypus.webp	CC0	openverse/wikimedia	Platypus (Ornithorhynchus anatinus). First Description 1799	https://commons.wikimedia.org/w/index.php?curid=77379439

alpaca.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=1508346
angelfish.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=163267040
ant.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=70421539
ant_2.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=87837918
arctic_fox.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=56681996
badger.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=85579656
bearded_dragon.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=7607819
boa.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=14330620
bobcat.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=162340849
bobcat_2.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=162323921
budgerigar.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=58472126
bulldog.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=80460564
bumblebee.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=4405328
capybara.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=137928201
capybara_2.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=122134175
caracal.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=33387374
cardinal_bird.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=118072766
cassowary.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=31768532
catfish.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=5913229
chameleon.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=118484011
chihuahua.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=24067098
chimpanzee.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=109608056
chinchilla.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=2450410
cicada.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=193580028
cobra.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=154834198
cobra_2.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=150562753
corgi.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=104101423
cougar.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/w/index.php?curid=163416964
