almond_donut.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Dough-Donut-Dulce-de-Leche.jpg
apple_pie.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:McD-Apple-Pie.jpg
bacon_cheeseburger.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:NYC-Diner-Bacon-Cheeseburger.jpg
bagel.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Bagel-Plain-Alt.jpg
bagel_chips.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:NY-Deli-Bagel-Chips.jpg
beer_growler.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:64_fluid_ounce_Growler_style_beer_bottle_in_brown_glass_with_a_screw_top_cap.jpg
blackberries.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Rubuscanadensis.jpg
blueberry_muffin.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Muffin_NIH.jpg
blueberry_pack.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Blueberries-In-Pack.jpg
breakfast_sandwich.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:McD-Egg-McMuffin.jpg
brown_egg.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Egg_on_white_background.jpg
brown_shrimp.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Nordseegarnelen_(Crangon_crangon).jpg
brownie.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:LD-Cosmic-Brownie.jpg
brownie_brittle.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Sheila-G-Brownie-Brittle-Pieces.jpg
candied_sweet_potato.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Daigaku-imo_002.jpg
cantaloupe.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Cantaloupe_Melon_cross_section.png
celery.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Celery_(1).jpg
cheeseburger.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Jr._Deluxe_Burger_from_Sonic_Drive-In.jpg
cherry_tomato_pack.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Cherry-Tomatoes-in-Pack.jpg
cherry_tomatoes.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Cherry_Bambelo_tomatoes_2017_A1.jpg
chicken_rice.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Chicken_and_rice.jpg
chili_peppers.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Naga_Jolokia_Peppers.jpg
chocolate_crisp_bars.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:3-Musketeers-Truffle-Crisp-Bar.jpg
chocolate_sticks.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Pepero-Almond-Sticks.jpg
chocolate_wafers.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Prince-Polo-Hazl-Split.jpg
cinnamon_roll.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Cinnamon-Roll-US-Bakery.jpg
coconut_oil_jar.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Coconut-oil-on-wooden-spoon.jpg
coffee_roll.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Dunkin-Donuts-Coffee-Roll.jpg
cream_wafers.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Harajuku-dog_001.jpg
croissant_2.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Croissant-Petr_Kratochvil.jpg
croquettes.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Cabbage-taro_001.jpg
cucumber.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Cucumber_from_Denmark.jpg
danish_pastry.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Danish_(1).jpg
dragon_fruit.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:A_dragon_fruit.jpg
dried_bananas.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Nature_neighbors,_embracing_birds,_plants,_animals,_minerals,_in_natural_colors_by_color_photography,_containing_articles_by_Gerald_Alan_Abbott,_Dr._Albert_Schneider,_William_Kerr_Higley...and_other_(14565317409).jpg
dumplings.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Dumplings_(Unsplash).jpg
egg_carton.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:6-Pack-Chicken-Eggs.jpg
flour_tortilla.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Flour_tortilla.jpg
french_fries.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:McDonald%27s_French_Fries,_Canada,_2026-04-04.jpg
french_fries_2.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:BK-French-Fries.jpg
fried_chicken.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Fried-Chicken-Set.jpg
fried_chicken_leg.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Fried-Chicken-Leg.jpg
fruit_salad.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Fruit_salad_(1).jpg
garlic_scapes.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:CSA-Garlic-Scapes.jpg
grapefruit.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Grapefruit-Whole-%26-Split.jpg
grapefruit_2.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Grapefruit_(1).jpg
gummy_candies.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Ferrara-Candy-Jujyfruits.jpg
ham.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Ham_(4).jpg
kidney_beans.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Vigna_unguiculata_03.jpg
leek.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Leek_on_a_white_background.png
lemon.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Lemon_with_white_background.jpg
lemon_2.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Lemon_Grey_2252546.jpg
lollipop.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Lollipop-Rainbox-Swirl.jpg
mango.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:USDA_Eat_Healthy_Food_Group_Gallery_serving_size_medium_mango.jpg
marian_plum.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Marian_plum_fruits.jpg
mead_jug.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Honey-Fruit-Mead-Brewing.jpg
