oil_lamp.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/2018.281
oil_lamp_2.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/2023.104
oil_lamp_3.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1981.10
clock.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1992.70
clock_2.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1966.475
clock_3.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1966.477
teapot_2.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1940.228
teapot_3.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/2022.168.a
teapot_4.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1966.500.1
vase_2.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1944.190
vase_3.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1971.145
vase_4.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/2022.224
candlestick.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1951.539
candlestick_2.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1942.802
candlestick_3.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1974.185
mirror.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1989.65
mirror_2.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1983.196
kettle_2.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1980.11
pitcher.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1917.357
pitcher_2.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1942.1081
pitcher_3.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1924.259
tankard.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1936.352
tankard_2.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1971.266
tankard_3.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1940.173
goblet.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1991.16
goblet_2.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1966.371
goblet_3.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1953.364
scissors.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1916.313.a
scissors_2.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1940.223
key.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1952.586
perfume_bottle.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1994.9
perfume_bottle_2.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1981.73
perfume_bottle_3.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1966.379
inkstand.webp | CC0 | Cleveland Museum of Art | https://clevelandart.org/art/1916.350
