iris.webp | Public domain | wikimedia | Iris pumila 1797.jpg | https://commons.wikimedia.org/wiki/File:Iris_pumila_1797.jpg
iris_2.webp | Public domain | wikimedia | Iris spuria (Curtis).jpg | https://commons.wikimedia.org/wiki/File:Iris_spuria_(Curtis).jpg
iris_3.webp | Public domain | wikimedia | Iris variegata 1787.jpg | https://commons.wikimedia.org/wiki/File:Iris_variegata_1787.jpg
iris_4.webp | Public domain | wikimedia | Iris versicolor 1787.jpg | https://commons.wikimedia.org/wiki/File:Iris_versicolor_1787.jpg
lily.webp | Public domain | wikimedia | Lilium bulbiferum 1787.jpg | https://commons.wikimedia.org/wiki/File:Lilium_bulbiferum_1787.jpg
lily_2.webp | Public domain | wikimedia | Lilium cand.jpg | https://commons.wikimedia.org/wiki/File:Lilium_cand.jpg
lily_3.webp | Public domain | wikimedia | Lilium chalc.jpg | https://commons.wikimedia.org/wiki/File:Lilium_chalc.jpg
lily_4.webp | Public domain | wikimedia | Lilium chalcedonicum 1787.jpg | https://commons.wikimedia.org/wiki/File:Lilium_chalcedonicum_1787.jpg
lily_5.webp | Public domain | wikimedia | Lilium pensylvanicum2.jpg | https://commons.wikimedia.org/wiki/File:Lilium_pensylvanicum2.jpg
poppy.webp | Public domain | wikimedia | Illustrations of medical botany (Plate IX) BHL5878481.jpg | https://commons.wikimedia.org/wiki/File:Illustrations_of_medical_botany_(Plate_IX)_BHL5878481.jpg
poppy_2.webp | Public domain | wikimedia | Plate 13 Papaver rhoeas Conversations on Botany-1st edition.tiff | https://commons.wikimedia.org/wiki/File:Plate_13_Papaver_rhoeas_Conversations_on_Botany-1st_edition.tiff
poppy_3.webp | Public domain | wikimedia | The American Flora. Vol. 1, 1855 - pl. 17 Papaver rhoeas (6022329916).jpg | https://commons.wikimedia.org/wiki/File:The_American_Flora._Vol._1,_1855_-_pl._17_Papaver_rhoeas_(6022329916).jpg
peony.webp | Public domain | wikimedia | Curtis's botanical magazine (Plate 1422) (8247984502).jpg | https://commons.wikimedia.org/wiki/File:Curtis%27s_botanical_magazine_(Plate_1422)_(8247984502).jpg
peony_2.webp | Public domain | wikimedia | Curtis's botanical magazine (Plate 1441) (8246928593).jpg | https://commons.wikimedia.org/wiki/File:Curtis%27s_botanical_magazine_(Plate_1441)_(8246928593).jpg
peony_3.webp | Public domain | wikimedia | Edwards's botanical register (Plate 09) (8409037928).jpg | https://commons.wikimedia.org/wiki/File:Edwards%27s_botanical_register_(Plate_09)_(8409037928).jpg
peony_4.webp | Public domain | wikimedia | Edwards's botanical register (Plate 1436) (7794917662).jpg | https://commons.wikimedia.org/wiki/File:Edwards%27s_botanical_register_(Plate_1436)_(7794917662).jpg
peony_5.webp | Public domain | wikimedia | Edwards's botanical register (Plate 1456) (7794932330).jpg | https://commons.wikimedia.org/wiki/File:Edwards%27s_botanical_register_(Plate_1456)_(7794932330).jpg
magnolia.webp | Public domain | wikimedia | Beautiful Magnolia campbellii flowers.jpg | https://commons.wikimedia.org/wiki/File:Beautiful_Magnolia_campbellii_flowers.jpg
magnolia_2.webp | CC0 | wikimedia | Magnolia Larousse Extracted.png | https://commons.wikimedia.org/wiki/File:Magnolia_Larousse_Extracted.png
fuchsia.webp | Public domain | wikimedia | Curtis's botanical magazine (Plate 3364) (8202196735).jpg | https://commons.wikimedia.org/wiki/File:Curtis%27s_botanical_magazine_(Plate_3364)_(8202196735).jpg
fuchsia_2.webp | Public domain | wikimedia | Curtis's botanical magazine (Plate 3498) (8043255344).jpg | https://commons.wikimedia.org/wiki/File:Curtis%27s_botanical_magazine_(Plate_3498)_(8043255344).jpg
fuchsia_3.webp | Public domain | wikimedia | Curtis's botanical magazine (Plate 3521) (8043259151).jpg | https://commons.wikimedia.org/wiki/File:Curtis%27s_botanical_magazine_(Plate_3521)_(8043259151).jpg
fuchsia_4.webp | Public domain | wikimedia | Curtis's botanical magazine (Plate 4233) (8571524979).jpg | https://commons.wikimedia.org/wiki/File:Curtis%27s_botanical_magazine_(Plate_4233)_(8571524979).jpg
fuchsia_5.webp | Public domain | wikimedia | Edwards's botanical register (Plate 02) (8386113201).jpg | https://commons.wikimedia.org/wiki/File:Edwards%27s_botanical_register_(Plate_02)_(8386113201).jpg
carnation.webp | Public domain | wikimedia | Dianthus barbatus00.jpg | https://commons.wikimedia.org/wiki/File:Dianthus_barbatus00.jpg
carnation_2.webp | Public domain | wikimedia | Dianthus chinensis Blanco1.94b.jpg | https://commons.wikimedia.org/wiki/File:Dianthus_chinensis_Blanco1.94b.jpg
carnation_3.webp | Public domain | wikimedia | The Botanical Magazine, Plate 207 (Volume 6, 1793).png | https://commons.wikimedia.org/wiki/File:The_Botanical_Magazine,_Plate_207_(Volume_6,_1793).png
