# filename	license	source	url  (all Wikimedia Commons PD/CC0, license verified via extmetadata)
pocket_watch.webp	cc0	wikimedia	https://commons.wikimedia.org/wiki/File:Bernard_Runyan_watch_recovered_at_wreck.jpg
padlock.webp	public domain	wikimedia	https://commons.wikimedia.org/wiki/File:Brass_St._Louis_Padlock_From_the_1904_World's_Fair.jpg
perfume_bottle.webp	cc0	wikimedia	https://commons.wikimedia.org/wiki/File:Scent_Bottle_SAAM-1929.8.245.47_1.jpg
hourglass.webp	public domain	wikimedia	https://commons.wikimedia.org/wiki/File:Masonic_Hourglass.jpg
magnifying_glass.webp	public domain	wikimedia	https://commons.wikimedia.org/wiki/File:Magnifying_glass2.jpg
quill_pen.webp	cc0	wikimedia	https://commons.wikimedia.org/wiki/File:Quill-shaped_cirrus_cloud.jpg
brass_compass.webp	cc0	wikimedia	https://commons.wikimedia.org/wiki/File:Combined_compass_and_sundial,_Iran,_19th_century,_brass_-_Huntington_Museum_of_Art_-_DSC04910.JPG
hand_mirror.webp	public domain	wikimedia	https://commons.wikimedia.org/wiki/File:Two_mermaids_comb_their_hair_with_sea-shell_hand_mirrors.jpg
candelabra.webp	public domain	wikimedia	https://commons.wikimedia.org/wiki/File:Thirteen_light_candelabra,_designed_by_Bruno_Paul,_made_by_K._M._Seifert_&_Co.,_1901,_brass_-_Bröhan_Museum,_Berlin_-_DSC04023.JPG
oil_lamp.webp	cc0	wikimedia	https://commons.wikimedia.org/wiki/File:Russell_Madole,_Brass_Oil_Lamp,_c._1939,_NGA_24591.jpg
gold_coin.webp	cc0	wikimedia	https://commons.wikimedia.org/wiki/File:Gold_Coin_of_Brutus,_50_B.C.,_from_the_Ancient_Coins_series_(N180)_issued_by_Wm._S._Kimball_&_Co._MET_DPB870604.jpg
silver_coin.webp	public domain	wikimedia	https://commons.wikimedia.org/wiki/File:Roman_Empire_-_Maximianus_Herculius_AR_Argenteus_(AD_286-305)_-_Four_tetrarchs_before_city_gate,_ss_-_ss+_-_MA-Shops_01.jpg
gold_ring.webp	cc0	wikimedia	https://commons.wikimedia.org/wiki/File:Gold_ring-shaped_pendant.jpg
brooch.webp	cc0	wikimedia	https://commons.wikimedia.org/wiki/File:Victoria_and_Albert_Museum_Jewellery_11042019_Brooch_Rubies_Sapphires_2922.jpg
bracelet.webp	cc0	wikimedia	https://commons.wikimedia.org/wiki/File:Gold_bracelet_MET_DT333008.jpg
pearl_necklace.webp	public domain	wikimedia	https://commons.wikimedia.org/wiki/File:Parure_of_jewellery,_with_emerald_necklace,_bracelet,_and_brooches.jpg
pendant.webp	cc0	wikimedia	https://commons.wikimedia.org/wiki/File:Victoria_and_Albert_Museum_Jewellery_11042019_Pendant_Gold_Amethysts_Spain_17th_century_3093.jpg
wristwatch_gold.webp	no restrictions	wikimedia	https://commons.wikimedia.org/wiki/File:Helbros_Gold_Wristwatch_Given_to_Evangeline_Lindbergh_-_DPLA_-_799317e98397bf47b55a50576720d8ec_(page_8).jpg
