
# --- added by sourcing run 2026-07-20 ---
anatomy_skull.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Plate_Vb_Human_Skull,_engraving_by_William_Miller_after_drawing_by_W_Miller.jpg
skeleton.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/561116/skull-vintage-style
anatomy_hand.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6288053/image-vintage-public-domain-person
anatomy_hand_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6515999/image-heart-vintage-public-domain
anatomy_eye.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:A_complete_physico-medical_and_chirurgical_treatise_on_the_human_eye-_and_a_demonstration_of_natural_vision_Fleuron_T153844-10.png
anatomy_eye_2.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:A_complete_physico-medical_and_chirurgical_treatise_on_the_human_eye-_and_a_demonstration_of_natural_vision_Fleuron_T153844-14.png
celestial_chart.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:1660_celestial_chart_showing_the_selenographic_phases_of_the_moon.jpg
celestial_chart_2.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:1675_double_hemisphere_celestial_chart_by_Louis_Vlasbloem.jpg
constellation.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/9329171/tray
zodiac_2.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Antique_gems_and_rings_(1872)_(14778853775).jpg
armillary_sphere_2.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Compass_rose_detail_from_1748_Bowen_Mariner’s_Compass_and_Armillary_Sphere_-_Geographicus_-_CircleofWinds-bowen-1747_(cropped).jpg
moth_specimen.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Butterflies_and_moths_(Plate_XXI)_(9261753403).jpg
moth_specimen_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/431473/free-illustration-image-butterfly-vintage-shell
ornate_frame.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:"Christierna_Ertzherzogin_zu_Österreich",_engraving.jpg
ornate_frame_2.webp | PDM 1.0 | Openverse/flickr | https://www.flickr.com/photos/37667416@N04/4383851321
cartouche.webp | CC0 1.0 | Openverse/clevelandmuseum | https://clevelandart.org/art/1932.374.9
cartouche_2.webp | CC0 1.0 | Openverse/clevelandmuseum | https://clevelandart.org/art/1932.374.1
flourish.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:A_treatise_on_wood_engravings_-_historical_and_practical_(1881)_(14590307589).jpg
