
# --- added by sourcing run 2026-07-20 ---
mallet.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3358489/free-illustration-image-antique-art-artwork
hand_saw.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Dr_Batson_in_faquir_dress_after_Delhi_Massacre,_India,_Indian_Rebellion,_Mutiny_views,_Sepoy_Mutiny,_old_vintage_1800s_steel_engraving.jpg
hand_saw_2.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Every_life_a_delight_(1914)_(14781559772).jpg
adjustable_wrench.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6488136/png-sticker-vintage
adjustable_wrench_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6484486/png-sticker-vintage
spanner.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6817482/png-sticker-vintage
pliers.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6820600/png-sticker-vintage
pliers_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6817449/png-sticker-vintage
screwdriver.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Matchbox_label_-_Replace_Broken_Tools!_-_Czechoslovakia_(circa_1940s)_-_MBP1628258663.jpg
screwdriver_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/10023224/image-airplane-art-vintage
hand_plane.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6488611/png-sticker-vintage
trowel.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6820695/png-sticker-vintage
trowel_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6819493/vector-vintage-public-domain-black
pruning_shears.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/10302879/image-paper-art-vintage
pitchfork.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/51001/free-illustration-image-tools-gardening-shovel
wheelbarrow.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Matchbox_label_-_Build_New_Playgrounds_-_Czechoslovakia_(circa_1940s)_-_MBP1420127095.jpg
wheelbarrow_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6678093/vector-vintage-public-domain-person
watering_can.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:A_lake_tour_to_picturesque_Mackinac_via_the_D._and_C_(1890)_(14577646897).jpg
