
# --- added by sourcing run 2026-07-20 ---
antique_doll.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Travels_and_researches_in_Chaldæa_and_Susiana;_with_an_account_of_excavations_at_Warka,_the_"Erech"_of_Nimrod,_and_Shúsh,_"Shushan_the_Palace"_of_Esther,_in_1849-52_(1857)_(14761356934).jpg
antique_doll_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3361910/free-illustration-image-antique-apparel-art
rag_doll.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/10068223/rag-doll-nurse-and-baby-c-1936-mina-lowry
teddy_bear_vintage.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6613091/png-sticker-vintage
teddy_bear_vintage_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6613270/psd-vintage-public-domain-illustration
toy_bear.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Italy_from_the_Alps_to_Mount_Etna_(1877)_(14775032454).jpg
rocking_horse.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6756373/png-sticker-vintage
rocking_horse_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6333074/vector-sticker-public-domain-vintage-illustrations
toy_car.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/10069817/toy-train-1939-stone
toy_car_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3368831/free-illustration-image-antique-art-artwork
toy_train.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3391255/free-illustration-image-alice-stearns-antique-art
toy_train_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3391491/free-illustration-image-vintage-antique-art
wooden_blocks.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Play_and_play_materials_for_the_pre-school_child_(1900)_(14580394839).jpg
wooden_blocks_2.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Play_and_play_materials_for_the_pre-school_child_(1900)_(14580399468).jpg
spinning_top.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/11656487/fashion-picture-french-lady-with-boy-and-spinning-top-1813
toy_top.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:The_Bookshelf_for_boys_and_girls_Children's_Book_of_Fact_and_Fancy_(1912)_(14773477755).jpg
toy_top_2.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:The_English_dance_of_death,_from_the_designs_of_Thomas_Rowlandson;_(1903)_(14788703313).jpg
marionette.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/10070940/shark-puppet-c-1936-sebastian-simonet
hand_puppet.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6683574/image-vintage-public-domain-people
hand_puppet_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6504148/psd-sticker-vintage-public-domain
jack_in_box.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6713945/png-sticker-vintage
jack_in_box_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6715133/vector-vintage-public-domain-black
kite.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/10095376/vector-face-people-vintage
toy_soldier.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/10079622/doll-c-1938-verna-tallman
tin_soldier.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Gérôme_-_the_life_and_works_of_Jean_Léon_Gérôme_(1892)_(14760822044).jpg
toy_ark.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3362903/free-illustration-image-public-domain-vintage-animals
hobby_horse.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/10060895/hobby-horse-19351942-mina-lowry
toy_boat.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3389255/free-illustration-image-alf-bruseth-antique-art
skipping_rope.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6302819/png-sticker-vintage
skipping_rope_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6613246/vector-vintage-public-domain-woman
kaleidoscope.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/431473/free-illustration-image-butterfly-vintage-shell
kaleidoscope_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/8663313/pictures-from-the-kaleidoscope
toy_elephant.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3363909/free-illustration-image-animal-antique-art
block_tower.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Children_building_with_blocks_-_Our_Young_Folks_magazine_(1873).jpeg
block_tower_2.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Strange_symptoms_as_to_the_final_nature_of_the_late_bill._(BM_1868,0808.12319_1).jpg
nesting_doll.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Coast_watch_(1979)_(20039758623).jpg
nesting_doll_2.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Gray_lady_and_the_birds;_stories_of_the_bird_year_for_home_and_school_(1907)_(14775536383).jpg
toy_cannon.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/7689941/boy-with-fireworks-balloon-and-toy-cannon
baby_doll.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6613308/png-sticker-vintage
baby_doll_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6613232/vector-vintage-public-domain-person
wooden_train.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:A_TEA_HOUSE,_CANTON.jpg
wooden_train_2.webp | No restrictions | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Locomotive_engineering_-_a_practical_journal_of_railway_motive_power_and_rolling_stock_(1897)_(14781552483).jpg

# --- added by sourcing run 2026-07-20 (toys batch 2) ---
cast_iron_horse_cart.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Bertha_Semple,_Cast_Iron_Toy_Bank,_c._1939,_NGA_29228.jpg
mechanical_bank.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Chris_Makrenos,_Cast_Iron_Toy_Bank_-_Masons,_c._1937,_NGA_20756.jpg
